,Job Title,Company Name,Company Location,Intern Duration,Stipend,Job Details Url
54,Recruitment,Codeacious Technologies Private Limited,Noida,6 Months,"₹ 7,000 /month",https://internshala.com/internship/detail/recruitment-internship-in-noida-at-codeacious-technologies-private-limited1737118096
55,Video Editing/Making,Underpin Services,Delhi,4 Months,"₹ 10,000-15,000 /month",https://internshala.com/internship/detail/video-editing-making-internship-in-delhi-at-underpin-services1737088681
56,Company Secretary (CS),GoMechanic,Gurgaon,3 Months,"₹ 15,000 /month",https://internshala.com/internship/details/company-secretary-cs-internship-in-gurgaon-at-gomechanic1737115770
57,Videography and Editing,Internshala,Gurgaon,6 Months,"₹ 18,000 /month",https://internshala.com/internship/detail/videography-and-editing-internship-in-gurgaon-at-internshala1737113497
58,Copywriting,Ayurveda House Private Limited,Delhi,3 Months,"₹ 10,000-12,000 /month",https://internshala.com/internship/details/copywriting-internship-in-delhi-at-ayurveda-house-private-limited1737098222
59,Business Development (Sales),Enout,Gurgaon,2 Months,"₹ 10,000-25,000 /month",https://internshala.com/internship/details/business-development-sales-internship-in-gurgaon-at-enout1737109247
60,Admission Counselor,Riddhi Siddhi Education,Delhi,6 Months,"₹ 15,000 /month",https://internshala.com/internship/details/admission-counselor-internship-in-delhi-at-riddhi-siddhi-education1737096948
61,Content Writing,Ayurveda House Private Limited,Delhi,3 Months,"₹ 10,000-12,000 /month",https://internshala.com/internship/details/content-writing-internship-in-delhi-at-ayurveda-house-private-limited1737093777
62,Sales Copywriter,Mangostine Technologies Private Limited,Noida,3 Months,"₹ 7,000 /month",https://internshala.com/internship/detail/sales-copywriter-internship-in-noida-at-mangostine-technologies-private-limited1737088770
63,Telecalling,Scintill Infotech,Gurgaon,6 Months,"₹ 10,000 /month",https://internshala.com/internship/detail/telecalling-internship-in-gurgaon-at-scintill-infotech1737114664
64,Lead Generation,Kit19 (Pel Softlabs Private Limited),"Delhi, West",6 Months,"₹ 10,000 /month",https://internshala.com/internship/details/lead-generation-internship-in-multiple-locations-at-kit19-pel-softlabs-private-limited1737098465
65,Digital Marketing,Riddhi Siddhi Education,Delhi,6 Months,"₹ 15,000 /month",https://internshala.com/internship/details/digital-marketing-internship-in-delhi-at-riddhi-siddhi-education1737096439
66,Influencer & PR Marketing,IndiTab Esolutions Private Limited,Noida,6 Months,"₹ 12,000 /month",https://internshala.com/internship/details/influencer-pr-marketing-internship-in-noida-at-inditab-esolutions-private-limited1737097531
67,Event And Partnership,Times Internet,Noida,6 Months,"₹ 10,000 /month",https://internshala.com/internship/detail/event-and-partnership-internship-in-noida-at-times-internet1737122394
68,Marketing,Anukaram Wellness Private Limited,Gurgaon                                                            (Hybrid),3 Months,"₹ 2,000 /month",https://internshala.com/internship/detail/part-time-marketing-internship-in-gurgaon-at-anukaram-wellness-private-limited1737118387
69,Strategic Alliances & Partnership,IndiTab Esolutions Private Limited,Noida,6 Months,"₹ 12,000 /month",https://internshala.com/internship/details/strategic-alliances-partnership-internship-in-noida-at-inditab-esolutions-private-limited1737097951
